ID,L3,Finding Category,Priority,Description, Recommendation,Type of correction action,Categories of corrective action strength
22168,PT Heksagon Tiwikrama,"Inspection, signage, tag",Low,Apparently there is no tagline attached to the side of the Monolith to be lifted,Make sure the tagline is attached before installing the monolith and carrying out an inspection,2,1
22170,PT Laju Niaga Gemilang,"Inspection, signage, tag",High,No tagging for machine tools equipment at site,Please update the tag to the latest inspection,3,1
22172,PT Laju Niaga Gemilang,Housekeeping,High,Material stock yard is not properly barricade,Block the material stockyard using baricade.,1,1
22172,PT Laju Niaga Gemilang,"Inspection, signage, tag",High,No update tagging ta machine tool,Update the handtools tagging,2,1
22237,PT Buma Perindahindo,Communication,Low,Lack of safety signage to inform hazard on the opening edge of sloping,Had informed site team and warning sign been installed,2,1
22249,PT Heksagon Tiwikrama,Slips and trips,Low,"Working area not clear from waste, potential slip and trip",Working area must be clear and disposed material on specific location for waste,2,3
22255,PT Heksagon Tiwikrama,Property damage,Low,that found gap canopy fascia select container,Make sure canopy fascia connected properly,2,1
22286,PT. Mitra Purnama Engineering,Communication,Low,No proper filing system in place for documentation. It would lead PH to miss documented mandatory information in proper form.,"Have discussed with HSSE Manager to provide 1 filing system using map/binder/bantex that consist of mandatory form (e.g. site visit register, MOM, attendance list, equipment inspection, etc.)",2,1
22286,PT. Mitra Purnama Engineering,Communication,Low,Competency certificate posted in HSSE Board not yet updated,To update with valid safety passport and certificate ,2,1
22286,PT. Mitra Purnama Engineering,Competence,High,No temporary safety passport for workers,HSSE team to have system in place to assure been available on the first day of work to conduct site set-up inspection and audit. This include to proper competency requirement for workers ,2,3
22286,PT. Mitra Purnama Engineering,Communication,Low,Missing implementation of blue zone as per intended concept (picture shall able to easily detach and attach for allowing engagement of workers),Update the blue zone as per best practice shared thru wa ,2,1
22286,PT. Mitra Purnama Engineering,"Rules, regulations not followed",Low,No first aid bag available at site,Provide first aid bag at site ,1,1
22286,PT. Mitra Purnama Engineering,PPE incomplete / inadequate,Low,No additional specific PPE (safety glass) for hacking work,To provide it and maintain the use of it during whole construction work ,1,2
22286,PT. Mitra Purnama Engineering,Fire / explosion,High,FE was low pressure,To immediately mobilize FE,1,1
22291,PT Usaha Jayamas Bhakti,Procedures not followed / inadequate,Medium,No proper set-up of green zone and red zone. HSSE information not properly posted in green zone. No minimum mandatory signage also in place (such as red zone and mandatory PPE),Provide proper HSSE information board and signage as per Meinhardt requirement ,1,1
22322,PT Usaha Jayamas Bhakti,Slips and trips,Medium,electrical cable lying on the ground,Elctrical cable can not lying on the ground because can cause someone get trips. Please move the cable or place the cable 1.8 m above the ground using support poles.,1,1
